Old,New
'''008.8''',VIRAL GASTROENTERITITIS#008.8
'''011.9''',PULMONARY TUBERCULOSIS#011.9
'''015.0''',POT DISEASE#015.0
'''015.02''',TUBERCULOSIS SPINAL COLUMN TESTS NOT KNOWN#015.02
'''015.10''',HIP TUBERCULOSIS#015.10
'''034.0''',STREPTOCOCCAL PHARYNGITIS#034.0
'''035''',ERYSIPELA lower right limb#035
'''039.1''',ACTINOMYCOTIC LUNG INFECTION#039.1
'''041.86''',HELICOBACTER PYLORI INFECTION#041.86
'''042''',HUMAN HIV IMMUNODEFICIENCY VIRUS INFECTION#042
'''052''',CHICKENPOX#052
'''052.9''',CHICKENPOX#052.9
'''053.9''',SHINGLES#053.9
'''054.43''',DISCIFORM KERATITIS FROM HERPES SIMPLEX#054.43
'''056.9''',RUBELLA#056.9
'''070.1''',HEPATITIS A#070.1
'''070.3''',HEPATITIS B#070.3
'''070.32''',CHRONIC VIRAL HEPATITIS B#070.32
'''070.5''',Acute VIRAL HEPATITIS C#070.5
'''070.54''',CHRONIC HEPATITIS C 3rd#070.54
'''075''',INFECTIOUS MONONUCLEOSIS#075
'''078.10''',Plantar WARTS#078.10
'''082.1''',BUTTON FEVER#082.1
'''091.0''',PRIMARY GENITAL SYPHILIS#091.0
'''099.4''',Recurrent non-gonococcal urethritis#099.4
'''110.1''',ONYCOMYCOSIS LEFT TOE#110.1
'''110.2''',TINEA MANUUM#110.2
'''110.3''',TINEA CRURIS#110.3
'''110.8''',DERMATOPHYTOSIS other locations - MYCOSIS - inguinal#110.8
'''110.9''',MYCOSIS#110.9
'''111.8''',OTHER DERMATOMYCOSES others#111.8
'''112.0''',MOUTH CANDIDIASIS#112.0
'''112.1''',CANDIDA VULVOVAGINITIS#112.1
'''133.0''',SCABIES#133.0
'''135''',SARCOIDOSI#135
'''144.9''',K FLOOR MOUTH#144.9
'''150.9''',K ESOPHAGUS#150.9
'''151.4''',K BODY STOMACH#151.4
'''151.9''',K STOMACH#151.9
'''153.1''',K TRANSVERSE COLON#153.1
'''153.2''',K LEFT COLON#153.2
'''153.3''',K SIGMA#153.3
'''153.6''',K RIGHT COLON#153.6
'''153.9''',K COLON#153.9
'''154.0''',K RECTOSIGMOID JUNCTION#154.0
'''154.1''',K RIGHT#154.1
'''155.0''',K PRIMITIVES LIVER#155.0
'''155.2''',K LIVER#155.2
'''157.0''',K HEAD PANCREAS#157.0
'''157.9''',K PANCREAS#157.9
'''161.9''',K LARYNX#161.9
'''162.2''',K BRONCHI#162.2
'''162.9''',K PULMONARY#162.9
'''170.7''',K LONG BONES LOWER LIMB#170.7
'''171.9''',K CONNECTIVE AND OTHER SOFT TISSUES#171.9
'''172.5''',TRUNCAL MELANOMA Clark level III#172.5
'''172.9''',CUTANEOUS MELANOMA#172.9
'''173.3''',OTHER K SKIN FOREHEAD sarcomatoid carcinoma#173.3
'''173.9''',SPINOCELLULAR EPITHELIOMA#173.9
'''174.3''',K BREAD RIGHT INTERNAL LOWER QUADRANT Interv. of QUART with emptying. armpit cable#174.3
'''174.4''',K UPPER-EXTERNAL DIAL OF WOMEN'S BREAST#174.4
'''174.9''',K UDDLE#174.9
'''179''',K UTERUS#179
'''179.0''',K UTERUS#179.0
'''180.1''',K EXOCERVIX#180.1
'''180.9''',K CERVIX#180.9
