New Names,Cats,Cats 2
HELICOBACTER PYLORI INFECTION#041.86,Medical History,
SHINGLES#053.9,Medical History,
CHRONIC HEPATITIS C 3rd#070.54,Medical History,
INFECTIOUS MONONUCLEOSIS#075,Medical History,
K STOMACH#151.9,Medical History,
K COLON#153.9,Medical History,
K PULMONARY#162.9,Medical History,
CUTANEOUS MELANOMA#172.9,Medical History,
K UDDLE#174.9,Medical History,
K PROSTATE#185,Medical History,
K PROSTATE#185.0,Medical History,
K BLADDER#188.9,Medical History,
K RIGHT KIDNEY#189.0,Medical History,
Lymphoma#202.0,Medical History,
COLON POLYPS#211.3,Medical History,
GOITER#240.9,Medical History,
THYROID NODULE#241.0,Medical History,
NON-TOXIC MULTINODULAR GOITER#241.1,Medical History,
Graves disease#242.0,Medical History,
TOXIC MULTINODULAR GOITER#242.2,Medical History,
POST-SURGICAL HYPOTHYROIDISM#244.0,Medical History,
HYPOTHYROIDISM from chronic thyroiditis#244.9,Medical History,
HASHIMOTO THYROIDITIS#245.2,Medical History,
HYPERCHOLESTEROLEMIA#272.0,Medical History,
DYSLIPIDEMIA#272.2,Medical History,
DYSLIPIDEMIA - HYPERLIPIDEMIA -#272.4,Medical History,
MONOCLONAL GAMMAPATHY of uncertain significance#273.1,Medical History,
GOUT#274.9,Medical History,
GILBERT SYNDROME#277.4,Medical History,
OBESITY#278.0,Medical History,
SENILE DEMENTIA#290.0,Medical History,
ARTERIOSCLEROTIC DEMENTIA#290.4,Medical History,
Psychosis#044,Medical History,
ANXIETY#300.00,Medical History,
ANXIOUS DEPRESSION#300.4,Medical History,
ALZHEIMER'S DISEASE#331.0,Medical History,
PARKINSON'S DISEASE#332.0,Medical History,
MIGRAINE#346.9,Medical History,
LEFT CARPAL TUNNEL SYNDROME#354.0,Medical History,
Glaucoma#019,Medical History,
HEARING IMPAIRMENT#389.9,Medical History,
ARTERIAL HYPERTENSION#401.9,Medical History,
ACUTE MYOCARDIAL INFARCTION#410.9,Medical History,
PREVIOUS MYOCARDIAL INFARCTION#412,Medical History,
CHRONIC MYOCARDIAL ISCHEMIA#414.8,Medical History,
CHRONIC CARDIAC ISCHEMIA#414.9,Medical History,
MITRAL INSUFFICIENCY#424.0,Medical History,
AORTIC STENOSIS#424.1,Medical History,
ATRIAL FIBRILLATION#427.3,Medical History,
ATRIAL FIBRILLATION#427.31,Medical History,
HEART FAILURE#428.9,Medical History,
CEREBRAL STROKE < CEREBRAL ARTERY OCCLUSION >#434.9,Medical History,
TRANSIENT CEREBRAL ISCHEMIA#435.9,Medical History,
STROKE#436,Medical History,
MULTINFARTUAL ENCEPHALOPATHY#437.1,Medical History,
Thoracic AORTA DILATION#441.9,Medical History,
VARICOSE OF LOWER LIMBS#454.9,Medical History,
INFLUENCE#487.1,Medical History,
CHRONIC OBSTRUCTIVE BRONCHITIS < COPD > flared up#491.2,Medical History,
Bronchial asthma#493.9,Medical History,
COPD CHRONIC OBSTRUCTIVE BRONCHITIS#496,Medical History,
GASTROESOPHAGEAL REFLUX WITH GRADE I AND II ESOPHAGITIS < GERD >#530.1,Medical History,
REFLUX ESOPHAGITIS 1 AND 2 GRADE#530.11,Medical History,
GASTROESOPHAGEAL REFLUX#530.81,Medical History,
GASTRIC ULCER#531.9,Medical History,
DUODENAL ULCER#532.9,Medical History,
INGUINAL HERNIA#550.9,Medical History,
HIATAL HERNIA#553.3,Medical History,
COLON DIVERTICULUS#562.1,Medical History,
CHRONIC HEPATITIS FROM HEPATITIS C#571.4,Medical History,
GALLBLADSTONE STONES#574.2,Medical History,
NEPHROLITHIASIS#592.0,Medical History,
Miscarriage#634.9,Medical History,
GENERALIZED ARTHROSIS#715.0,Medical History,
LEFT LUMBOSCIATALGIA#722.10,Medical History,
LOW BACK PAIN#724.2,Medical History,
RIGHT SCIATALGIA#724.3,Medical History,
SCAPOLHOMERAL PERIARTHRITIS#726.2,Medical History,
OSTEOPOROSIS#733.0,Medical History,
DIZZINESS#780.4,Medical History,
SLEEP APNEA#780.57,Medical History,
COUGH in case of flu#786.2,Medical History,
RIGHT RENAL COLIC#788.0,Medical History,
URINARY INCONTINENCE#788.3,Medical History,
FRACTURE OF THE DORSAL VERTEBRAE somatic D7#805.2,Medical History,
FRACTURE OF THE LUMBAR VERTEBRAE#805.4,Medical History,
FRACTURE OF RIBS#807.0,Medical History,
FRACTURE OF THE LEFT WRIST#814.00,Medical History,
PERTROCHANTERIC FRACTURE OF THE FEMUR#820.2,Medical History,
FRACTURE OF THE LEFT FEMUR#821.00,Medical History,
FOOD ALLERGY probably to fish#995.3,Medical History,
NORMAL PREGNANCY#V22.1,Medical History,
PREGNANCY#V22.2,Medical History,
HIP PROSTHESIS#V43.64,Medical History,
LEFT KNEE PROSTHESIS#V43.65,Medical History,
LACK OF A FAMILY ABLE TO PROVIDE CARE#V60.4,SDoH,
PERMANENT BLADDER CATHETER (FOLEY)#101.14.,Medical History,
SHAPED DIAPER#101.21.,Medical History,
CATARACT SURGERY with lens implant#13.71,Medical History,
DUODENOSCOPY#45.13,Procedure,
COLONOSCOPY#45.23,Procedure,
REMOVAL OF SKIN LESION#86.4,Procedure,
X-ray of the dental arches <ORTHOPANORAMIC>#87.11.3,Test,
CERVICAL SPINE X-ray#87.22,Test,
LUMBOSACRAL SPINE X-ray#87.24,Test,
BILATERAL MAMMOGRAPHY#87.37.1,Test,
SN HEMITORACE RX FOR RIBS#87.43.2,Test,
CHEST X-ray#87.44.1,Test,
COMPLETE ABDOMEN CT + CONTRAST#88.01.6,Test,
ABDOMEN RX <DIRECT ABDOMEN>#88.19,Test,
LEFT SHOULDER#88.21,Test,
LEFT WRIST#88.23,Test,
RX HIP RX#88.26,Test,
RX KNEE RX#88.27,Test,
LEFT FOOT X-ray#88.28,Test,
THYROID ECHO <HEAD AND NECK ECHO>#88.71.4,Test,
CARDIAC ECHO <ECOCARDIOGRAPHY>#88.72.1,Test,
ECODOPPLER SUPRAORTIC TRUNKS<ECOCOLOR>#88.73.5,Test,
ECHO KIDNEYS AND ADRENALS#88.74.1,Test,
ECHO LOWER ABDOMEN#88.75.1,Test,
FULL ABDOMEN ECHO#88.76.1,Test,
ECOCOLORDOPPLER LOWER LIMBS. ART.#88.77.2,Test,
ECO SURFACE FABRICS#88.79.1,Test,
TRANSVAGINAL ECHO#88.79.7,Test,
MRI of the brain and brainstem. WITHOUT+CONTROL.#88.91.2,Test,
MRI RIGHT KNEE#88.94.1,Test,
LUMBAR AND FEMORAL DENSITOMETRY <DEXA>#88.99.2,Test,
V.CARDIOLOGICA control#89.01,Test,
V. NEUROLOGICAL#89.13,Test,
UROFLOWOMETRY#89.24,Test,
V.GYNECOLOGICAL#89.26,Test,
SPIROMETRY <BREATHING TESTS>#89.37.2,Test,
EFFORT ECG <CYCLE ERGOMETER>#89.43,Test,
DYNAMIC ECG <HOLTER>#89.50,Test,
ECG#89.52,Test,
V.SENOLOGICA#89.7,Test,
ALT <GPT> <ALANINE AMINOTRANSFERASE> <S>#90.04.5,Test,
PREALBUMIN#90.05.1,Test,
ALPHA 1 FETOPROTEIN <S>#90.05.5,Test,
AMYLASE#90.06.4,Test,
AST <GOT> <ASPARTATE AMINOTRANSFERASE>#90.09.2,Test,
BETA2 MICROGLOBULIN#90.10.1,Test,
TOTAL BILIRUBIN#90.10.4,Test,
TOTAL AND FRACTIONAL BILIRUBIN#90.10.5,Test,
SOCCER#90.11.4,Medication,
CALPROTECTIN IMMUNOMETRIC feces#90.12.A,Test,
CHLORINE#90.13.3,Test,
COBALAMIN <VIT.B12>#90.13.5,Medication,Test
HDL CHOLESTEROL#90.14.1,Test,
LDL CHOLESTEROL#90.14.2,Test,
TOTAL CHOLESTEROL#90.14.3,Test,
CPK <CREATINKINASE> <CK>#90.15.4,Test,
CREATININE#90.16.3,Test,
E2 <ESTRADIOL>#90.19.2,Medication,Test
STOOL OCCULT BLOOD ON 3 SAMPLES#90.21.4,Test,
FERRITIN#90.22.3,Test,
IRON <SIDEREMIA>#90.22.5,Test,
FOLATES#90.23.2,Test,
FSH <FOLLITROPIN>#90.23.3,Test,
ALKALINE PHOSPHATASE#90.23.5,Test,
PHOSPHORUS#90.24.5,Test,
GAMMA GT <GAMMA GLUTAMIL TRANSP.> <S>#90.25.5,Test,
GLUCOSE#90.27.1,Test,
CHORIONIC GONADOTROPIN free beta<S>#90.27.4,Test,
GLYCATED HEMOGLOBIN#90.28.1,Test,
BENCE JONES URINE#90.28.4,Test,
LDH <LACTATE DEHYDROGENASE>#90.29.2,Test,
LIPASE#90.30.2,Test,
LH <LUTEOTROPIN> <S>#90.32.3,Test,
TOTAL MAGNESIUM#90.32.5,Test,
MICROALBUMINURIA#90.33.4,Test,
BRAIN NATRIURETIC PEPTIDE (BNP or NT)#90.36.6,Test,
POTASSIUM#90.37.4,Test,Medication
PRL <PROLACTIN>#90.38.2,Test,
PROTIDOGRAM + TOTAL PROTEINS#90.38.4,Test,
SODIUM#90.40.4,Test,
TSH <THYROTROPIN>#90.42.1,Test,
T4 FREE <FREE THYROXINE>#90.42.3,Test,
TRANSFERRIN#90.42.5,Test,
TRIGLYCERIDES#90.43.2,Test,
T3 FREE <FREE TRIODOTYRONINE>#90.43.3,Test,
URICEMIA#90.43.5,Medical History,
UREA <AZOTEMIA>#90.44.1,Medical History,
URINE complete examination#90.44.3,Test,
VITAMIN D#90.44.5,Test,Medication
ANTI-CITRULLINE ANTIBODIES#90.47.3,Test,
INDIRECT COOMBS TEST#90.49.3,Test,
Ab ANTI TRANSGLUTAMINASE#90.49.5,Test,
ANTI THYROPEROXIDASE Ab <AbTPO>#90.51.4,Test,
ANTI NUCLEUS Ab <ANA>#90.52.4,Procedure,
ANTI THYROGLOBULIN Ab <TG>#90.54.4,Test,
CA 125 <CARBOHYDRATE ANTIGEN 125>#90.55.1,Test,
CA 15.3 <CARBOHYDRATE ANTIGEN>#90.55.2,Test,
CA 19.9 <CARBOHYDRATE ANTIGEN>#90.55.3,Test,
